"NASDAQ Composite",4448.06,4472.107,-22.543,"-0.50%"
"S&P 100 INDEX",882.67,884.51,-4.63,"-0.52%"
"DAX",9770.24,9794.06,-150.05,"-1.53%"
"FTSE 100",6821.46,6821.46,-29.91,"-0.44%"
"S&P 500",1984.60,1987.98,-9.64,"-0.48%"
"HANG SENG INDEX",24247.199,24141.50,+74.51,"+0.31%"
"Nikkei 225",15342.46,15284.42,+173.45,"+1.13%"
"CAC 40",4390.85,4410.65,-80.10,"-1.82%"
"IPSA SANTIAGO DE ",3929.51,3929.51,-10.43,"-0.27%"
